scope,day_of_week,hour,within_ad_schedule,scheduled_window,Impressions,Clicks,Cost,Conversions
LeadsSearch1_alldays_last60d,Tuesday,06,NO,07:00-20:00,58,6,7.4841,0.51
LeadsSearch1_alldays_last60d,Tuesday,07,yes,07:00-20:00,90,15,24.8456,0.0
LeadsSearch1_alldays_last60d,Tuesday,08,yes,07:00-20:00,113,7,14.3398,1.98
LeadsSearch1_alldays_last60d,Tuesday,09,yes,07:00-20:00,113,5,10.47,0.0
LeadsSearch1_alldays_last60d,Tuesday,10,yes,07:00-20:00,175,12,23.1036,1.0
LeadsSearch1_alldays_last60d,Tuesday,11,yes,07:00-20:00,123,5,8.12,1.0
LeadsSearch1_alldays_last60d,Tuesday,12,yes,07:00-20:00,140,9,14.4764,0.0
LeadsSearch1_alldays_last60d,Tuesday,13,yes,07:00-20:00,175,6,6.4374,0.0
LeadsSearch1_alldays_last60d,Tuesday,14,yes,07:00-20:00,158,9,18.5786,0.0
LeadsSearch1_alldays_last60d,Tuesday,15,yes,07:00-20:00,114,7,10.8546,0.98
LeadsSearch1_alldays_last60d,Tuesday,16,yes,07:00-20:00,75,2,4.95,0.0
LeadsSearch1_alldays_last60d,Tuesday,17,yes,07:00-20:00,37,2,3.34,1.0
LeadsSearch1_alldays_last60d,Tuesday,18,yes,07:00-20:00,36,4,6.07,0.0
LeadsSearch1_alldays_last60d,Tuesday,19,yes,07:00-20:00,16,1,0.67,0.0
LeadsSearch1_alldays_last60d,Tuesday,20,NO,07:00-20:00,42,0,0.0,0.0
LeadsSearch1_alldays_last60d,Tuesday,21,NO,07:00-20:00,26,1,2.32,0.0
LeadsSearch1_alldays_last60d,Tuesday,22,NO,07:00-20:00,9,1,2.83,0.0
LeadsSearch1_alldays_last60d,Wednesday,00,NO,07:00-20:00,31,3,6.74,1.0
LeadsSearch1_alldays_last60d,Wednesday,01,NO,07:00-20:00,20,2,2.94,0.0
LeadsSearch1_alldays_last60d,Wednesday,02,NO,07:00-20:00,7,3,3.1582,0.0
