Campaignname,DayofweekWithNum,Hour,Impressions,Clicks,Cost,Ctr,Conversions,CostPerConversion
PNHdefense-Website traffic-Search-2,3 Wednesday,14,11,1,0.61,0.090909,0.0,
PNHdefense-Website traffic-Search-2,3 Wednesday,15,11,0,0.0,0.0,0.0,
PNHdefense-Website traffic-Search-2,3 Wednesday,16,6,2,12.75,0.333333,1.2,10.625
PNHdefense-Website traffic-Search-2,3 Wednesday,17,4,0,0.0,0.0,0.0,
PNHdefense-Website traffic-Search-2,3 Wednesday,18,2,0,0.0,0.0,0.0,
PNHdefense-Website traffic-Search-2,3 Wednesday,19,2,0,0.0,0.0,0.0,
PNHdefense-Website traffic-Search-2,3 Wednesday,20,2,1,0.01,0.5,0.0,
PNHdefense-Website traffic-Search-2,3 Wednesday,22,2,1,0.01,0.5,0.0,
PNHdefense-Website traffic-Search-2,3 Wednesday,23,2,0,0.0,0.0,0.0,
PNHdefense-Website traffic-Search-2,4 Thursday,06,5,0,0.0,0.0,0.0,
PNHdefense-Website traffic-Search-2,4 Thursday,07,2,0,0.0,0.0,0.0,
PNHdefense-Website traffic-Search-2,4 Thursday,08,2,1,0.01,0.5,0.0,
PNHdefense-Website traffic-Search-2,4 Thursday,09,4,1,0.66,0.25,2.0,0.33
PNHdefense-Website traffic-Search-2,4 Thursday,10,6,3,3.525,0.5,7.0,0.5036
PNHdefense-Website traffic-Search-2,4 Thursday,11,2,0,0.0,0.0,0.0,
PNHdefense-Website traffic-Search-2,4 Thursday,12,4,0,0.0,0.0,0.0,
PNHdefense-Website traffic-Search-2,4 Thursday,13,2,1,5.38,0.5,0.0,
PNHdefense-Website traffic-Search-2,4 Thursday,14,5,0,0.0,0.0,0.0,
PNHdefense-Website traffic-Search-2,4 Thursday,15,4,1,1.54,0.25,0.0,
PNHdefense-Website traffic-Search-2,4 Thursday,16,4,0,0.0,0.0,0.0,
PNHdefense-Website traffic-Search-2,4 Thursday,18,8,0,0.0,0.0,0.0,
PNHdefense-Website traffic-Search-2,4 Thursday,21,5,0,0.0,0.0,0.0,
PNHdefense-Website traffic-Search-2,4 Thursday,22,2,1,1.91,0.5,0.0,
PNHdefense-Website traffic-Search-2,5 Friday,01,2,0,0.0,0.0,0.0,
PNHdefense-Website traffic-Search-2,5 Friday,07,6,2,7.95,0.333333,0.0,
PNHdefense-Website traffic-Search-2,5 Friday,08,4,0,0.0,0.0,0.0,
PNHdefense-Website traffic-Search-2,5 Friday,09,3,0,0.0,0.0,0.0,
PNHdefense-Website traffic-Search-2,5 Friday,10,11,1,5.12,0.090909,0.0,
PNHdefense-Website traffic-Search-2,5 Friday,11,5,2,0.44,0.4,0.0,
PNHdefense-Website traffic-Search-2,5 Friday,12,2,1,0.59,0.5,0.0,
PNHdefense-Website traffic-Search-2,5 Friday,13,4,0,0.0,0.0,0.0,
PNHdefense-Website traffic-Search-2,5 Friday,14,4,1,0.11,0.25,0.0,
PNHdefense-Website traffic-Search-2,5 Friday,15,7,3,10.0089,0.428571,7.0,1.4298
PNHdefense-Website traffic-Search-2,5 Friday,16,3,0,0.0,0.0,0.0,
PNHdefense-Website traffic-Search-2,5 Friday,17,2,0,0.0,0.0,0.0,
PNHdefense-Website traffic-Search-2,5 Friday,22,4,0,0.0,0.0,0.0,
PNHdefense-Website traffic-Search-2,6 Saturday,02,2,1,1.3,0.5,0.0,
PNHdefense-Website traffic-Search-2,6 Saturday,09,4,1,7.3041,0.25,0.0,
PNHdefense-Website traffic-Search-2,6 Saturday,10,4,3,2.86,0.75,0.0,
PNHdefense-Website traffic-Search-2,6 Saturday,11,1,0,0.0,0.0,0.0,
PNHdefense-Website traffic-Search-2,6 Saturday,12,1,1,1.96,1.0,0.0,
PNHdefense-Website traffic-Search-2,6 Saturday,14,1,0,0.0,0.0,0.0,
PNHdefense-Website traffic-Search-2,6 Saturday,15,4,0,0.0,0.0,0.0,
PNHdefense-Website traffic-Search-2,6 Saturday,18,2,1,3.44,0.5,0.0,
PNHdefense-Website traffic-Search-2,6 Saturday,20,2,1,2.91,0.5,0.0,
PNHdefense-Website traffic-Search-2,6 Saturday,21,1,0,0.0,0.0,0.0,
PNHdefense-Website traffic-Search-2,6 Saturday,23,6,1,0.41,0.166667,0.0,
