Campaignname,Adgroupname,Searchterm,Keyword,Matchtype,QueryTargetingStatus,Impressions,Clicks,Cost,Ctr,CPC,Conversions,ConversionRate,CostPerConversion
Leads-Search-1,Ad group 1,holistic fertility doctor near me,holistic dr near me,phrase (close variant),None,9,1,2.78,0.1111,2.78,1,1,2.78
Leads-Search-1,Ad group 1,holistic pediatrician near me,integrative medicine near me,phrase (close variant),None,9,2,3.66,0.2222,1.83,0,0,
Leads-Search-1,Ad group 1,wellness minneapolis,holistic dr near me,broad,None,9,1,3.6665,0.1111,3.6665,0,0,
Leads-Search-1,Functional & Integrative Medicine,function health,functional medicine,phrase (close variant),Excluded,9,1,4.2405,0.1111,4.2405,0,0,
Leads-Search-1,Men's Health,severe daytime sleepiness,adrenal fatigue doctor near me,broad,None,9,3,2.935,0.3333,0.9783,2,0.6667,1.4675
Leads-Search-1,Women's Health & Hormones,menopause symptoms,women's health naturopath,broad,None,9,1,2.88,0.1111,2.88,0,0,
Leads-Search-1,Ad group 1,craniosacral therapy near me,holistic dr near me,broad,None,8,2,4.02,0.25,2.01,0,0,
Leads-Search-1,Ad group 1,functional medicine doctor,integrative medicine near me,broad,None,8,1,5.69,0.125,5.69,1,1,5.69
Leads-Search-1,Ad group 1,naturopath,naturopathic doctor near me,broad,None,8,1,1.6093,0.125,1.6093,0,0,
Leads-Search-1,Women's Health & Hormones,pcos treatment,women's health naturopath,broad,None,8,1,1.23,0.125,1.23,0,0,
Leads-Search-1,Ad group 1,energy healing near me,holistic dr near me,broad,None,7,2,5.06,0.2857,2.53,0,0,
Leads-Search-1,Ad group 1,functional medicine,holistic medicine Minneapolis,broad,Added,7,1,3.6825,0.1429,3.6825,0,0,
Leads-Search-1,Ad group 1,functional medicine maple grove,naturopathic doctor near me,broad,None,7,3,7.07,0.4286,2.3567,1,0.3333,7.07
Leads-Search-1,Ad group 1,homeopathic doctors near me,naturopathic doctor near me,phrase (close variant),None,7,1,3.58,0.1429,3.58,0,0,
Leads-Search-1,Functional & Integrative Medicine,holistic medicine,functional medicine,broad,None,7,2,4.51,0.2857,2.255,0,0,
Leads-Search-1,Functional & Integrative Medicine,integrative medicine,functional medicine near me,broad,None,7,2,3.23,0.2857,1.615,0,0,
Leads-Search-1,Ad group 1,allergist near me,holistic dr near me,broad,None,6,2,6.6167,0.3333,3.3084,1,0.5,6.6167
Leads-Search-1,Ad group 1,colon hydrotherapy minneapolis,holistic dr near me,broad,None,6,1,1.79,0.1667,1.79,0,0,
Leads-Search-1,Ad group 1,doctor of osteopathic medicine near me,integrative medicine near me,broad,None,6,1,1.57,0.1667,1.57,0,0,
Leads-Search-1,Ad group 1,functional health doctor near me,naturopathic dr near me,broad,None,6,1,5.9,0.1667,5.9,0,0,
Leads-Search-1,Ad group 1,functional medicine clinic near me,functional medicine clinic near me,exact,Added,6,1,2.73,0.1667,2.73,0,0,
Leads-Search-1,Ad group 1,holistic doctor minneapolis,naturopathic doctor near me,broad,None,6,2,4.7,0.3333,2.35,4,2,1.175
Leads-Search-1,Ad group 1,holistic health near me,holistic dr near me,exact (close variant),None,6,1,1.06,0.1667,1.06,0,0,
Leads-Search-1,Ad group 1,menopause doctor near me,holistic dr near me,broad,None,6,1,6.85,0.1667,6.85,0,0,
Leads-Search-1,Ad group 1,natural medicine doctors near me,naturopathic doctor near me,exact (close variant),None,6,2,3.78,0.3333,1.89,0,0,
Leads-Search-1,Ad group 1,naturopathic doctors near me,naturopathic doctor near me,exact (close variant),None,6,1,4.301,0.1667,4.301,2,2,2.1505
Leads-Search-1,Ad group 1,naturopathic md,naturopathic doctor near me,exact (close variant),None,6,1,4.36,0.1667,4.36,0,0,
Leads-Search-1,Functional & Integrative Medicine,functional medicine doctors near me,functional medicine doctors near me,exact,Added,6,1,1.74,0.1667,1.74,0,0,
Leads-Search-1,Functional & Integrative Medicine,functional medicine st paul,functional medicine,phrase,None,6,1,1.0663,0.1667,1.0663,0,0,
Leads-Search-1,Functional & Integrative Medicine,integrative medicine,integrative medicine near me,broad,None,6,1,2.3266,0.1667,2.3266,0,0,
Leads-Search-1,Geo-Qualified — Hopkins & West Metro,naturopathic doctor,holistic medicine Minneapolis,broad,None,6,2,2.07,0.3333,1.035,1.5,0.75,1.38
