Campaignname,Adgroupname,Searchterm,Keyword,Matchtype,QueryTargetingStatus,Impressions,Clicks,Cost,Ctr,CPC,Conversions,ConversionRate,CostPerConversion
Leads-Search-1,Ad group 1,hormone specialist minneapolis,women's health naturopath,broad,None,2,1,2.53,0.5,2.53,0,0,
Leads-Search-1,Ad group 1,hormone testing near me women,holistic dr near me,broad,None,2,1,3.89,0.5,3.89,0,0,
Leads-Search-1,Ad group 1,integrative doctors near me,holistic dr near me,exact (close variant),None,2,1,2.56,0.5,2.56,0,0,
Leads-Search-1,Ad group 1,integrative health minneapolis,natural pediatrician near me,broad,None,2,1,1.7425,0.5,1.7425,0,0,
Leads-Search-1,Ad group 1,lyme specialist near me,holistic dr near me,broad,None,2,1,2.544,0.5,2.544,0,0,
Leads-Search-1,Ad group 1,natural doctors in my area,naturopathic doctor near me,exact (close variant),None,2,1,2.34,0.5,2.34,0,0,
Leads-Search-1,Ad group 1,natural doctors near me,naturopathic doctor near me,exact (close variant),None,2,1,1.95,0.5,1.95,1,1,1.95
Leads-Search-1,Ad group 1,natural gynecology,integrative medicine near me,broad,None,2,1,1.54,0.5,1.54,0,0,
Leads-Search-1,Ad group 1,natural ob gyn near me,integrative medicine near me,phrase (close variant),None,2,1,3.26,0.5,3.26,0,0,
Leads-Search-1,Ad group 1,natural pediatrician near me,natural pediatrician near me,exact,Added,2,1,1.27,0.5,1.27,6,6,0.2117
Leads-Search-1,Ad group 1,naturopath minneapolis,integrative medicine near me,broad,None,2,1,3.93,0.5,3.93,3,3,1.31
Leads-Search-1,Ad group 1,naturopathic doctor st paul,naturopathic doctor near me,broad,None,2,1,1,0.5,1,0,0,
Leads-Search-1,Ad group 1,naturopathic doctors mn,naturopathic doctor Minneapolis,exact (close variant),None,2,1,2.09,0.5,2.09,2,2,1.045
Leads-Search-1,Ad group 1,naturopathic doctors twin cities,holistic dr near me,broad,None,2,1,4.37,0.5,4.37,0,0,
Leads-Search-1,Ad group 1,naturopathic physicians nd sioux falls sd,holistic dr near me,broad,None,2,1,0.75,0.5,0.75,0,0,
Leads-Search-1,Ad group 1,naturopaths minneapolis,integrative medicine near me,broad,None,2,1,2.78,0.5,2.78,0,0,
Leads-Search-1,Ad group 1,pediatricians that don t require vaccines,natural pediatrician near me,broad,None,2,1,4.97,0.5,4.97,1,1,4.97
Leads-Search-1,Ad group 1,preventive health and wellness,holistic dr near me,broad,None,2,1,0.66,0.5,0.66,0,0,
Leads-Search-1,Ad group 1,private practices near me,holistic dr near me,broad,None,2,1,2.76,0.5,2.76,0,0,
Leads-Search-1,Ad group 1,tcm near me,naturopathic doctor near me,broad,None,2,2,1.77,1,0.885,0,0,
Leads-Search-1,Ad group 1,thyroid specialist minnesota,holistic dr near me,broad,None,2,1,2.83,0.5,2.83,0,0,
Leads-Search-1,Ad group 1,top rated functional medicine doctor near me,integrative medicine near me,broad,None,2,1,5.01,0.5,5.01,3,3,1.67
Leads-Search-1,Ad group 1,top rated functional medicine doctors near me,holistic dr near me,broad,None,2,1,3.66,0.5,3.66,0,0,
Leads-Search-1,Ad group 1,top rated holistic doctor near me,naturopathic doctor near me,broad,None,2,1,2.61,0.5,2.61,0,0,
Leads-Search-1,Functional & Integrative Medicine,dr silvia hugec,functional medicine doctors near me,broad,None,2,1,2.3,0.5,2.3,0,0,
Leads-Search-1,Functional & Integrative Medicine,holistic psychiatrist near me,integrative medicine near me,phrase (close variant),None,2,1,2.29,0.5,2.29,0,0,
Leads-Search-1,Functional & Integrative Medicine,natural treatments for gad,functional medicines,broad,None,2,1,1.05,0.5,1.05,0,0,
Leads-Search-1,Functional & Integrative Medicine,wellness near me,functional medicine near me,broad,None,2,1,1.23,0.5,1.23,0,0,
Leads-Search-1,Functional & Integrative Medicine,what is functional medicine,functional medicine,exact (close variant),None,2,2,4.64,1,2.32,0,0,
Leads-Search-1,Geo-Qualified — Hopkins & West Metro,2855 campus drive ste 650suite 650plymouth mn 55441,functional medicine doctor edina,broad,None,2,1,1.29,0.5,1.29,0,0,
Leads-Search-1,Geo-Qualified — Hopkins & West Metro,holistic health minneapolis,holistic medicine Minneapolis,exact (close variant),None,2,2,4.8,1,2.4,0,0,
Leads-Search-1,Men's Health,erectile dysfunction products,naturopath for erectile dysfunction,broad,None,2,1,0.3346,0.5,0.3346,0,0,
Leads-Search-1,Men's Health,erectile dysfunction treatment,men's health naturopath,broad,None,2,1,0.19,0.5,0.19,0,0,
Leads-Search-1,Men's Health,men's supplement,naturopath for men,broad,None,2,2,1.66,1,0.83,0,0,
Leads-Search-1,Men's Health,most effective ed treatment,naturopath for men,broad,None,2,1,3.06,0.5,3.06,0,0,
Leads-Search-1,Men's Health,tired heart,adrenal fatigue doctor near me,broad,None,2,1,1.15,0.5,1.15,0,0,
Leads-Search-1,Men's Health,what vitamins to take for men,naturopath for men,broad,None,2,1,1.27,0.5,1.27,0,0,
Leads-Search-1,Naturopath Near Me — Core,find a holistic doctor near me,natural doctor near me,exact (close variant),None,2,1,3.18,0.5,3.18,0,0,
Leads-Search-1,Naturopath Near Me — Core,natural practitioner near me,natural practitioner near me,exact,Added,2,1,1.35,0.5,1.35,0,0,
Leads-Search-1,Naturopath Near Me — Core,naturopath doctor near me,naturopathic doctor near me,exact (close variant),None,2,1,1.64,0.5,1.64,0,0,
Leads-Search-1,Naturopath Near Me — Core,naturopathy doctor near me,naturopathic practitioner near me,exact (close variant),None,2,1,1.39,0.5,1.39,1,1,1.39
Leads-Search-1,Pediatrics,dr bob zajac,pediatric naturopath near me,broad,Excluded,2,1,2.33,0.5,2.33,0,0,
Leads-Search-1,Pediatrics,holistic pediatric doctor near me,pediatric holistic doctor,exact (close variant),None,2,1,0.44,0.5,0.44,0,0,
Leads-Search-1,Pediatrics,holistic pediatrician,holistic pediatricians near me,exact (close variant),None,2,1,1.08,0.5,1.08,0,0,
Leads-Search-1,Pediatrics,independent pediatrician near me,pediatric holistic doctor,broad,Excluded,2,1,1.88,0.5,1.88,0,0,
Leads-Search-1,Pediatrics,naturalist pediatrician near me,holistic pediatricians near me,exact (close variant),None,2,1,5.42,0.5,5.42,0,0,
Leads-Search-1,Pediatrics,pediatrician holistic near me,holistic pediatricians near me,exact (close variant),None,2,1,5.55,0.5,5.55,0,0,
Leads-Search-1,Women's Health & Hormones,costco fertility program,naturopath for fertility,broad,None,2,1,3.11,0.5,3.11,0,0,
Leads-Search-1,Women's Health & Hormones,dutch test hormones,naturopath for women's health,broad,None,2,1,0.55,0.5,0.55,0,0,
Leads-Search-1,Women's Health & Hormones,endometriosis specialist minnesota,women's hormone specialist near me,broad,None,2,2,5.8,1,2.9,0,0,
Leads-Search-1,Women's Health & Hormones,endometriosis specialist near me,endometriosis specialist near me,exact,Added,2,1,2.86,0.5,2.86,0,0,
Leads-Search-1,Women's Health & Hormones,hormone testing near me,functional medicine hormones,broad,None,2,2,1.08,1,0.54,0,0,
Leads-Search-1,Women's Health & Hormones,menopause treatment options,functional medicine for hormones,broad,None,2,2,1.55,1,0.775,0,0,
Leads-Search-1,Women's Health & Hormones,naturopath near me,women's health naturopath,broad,None,2,1,1.67,0.5,1.67,0,0,
Leads-Search-1,Women's Health & Hormones,pcos specialist mn,functional medicine for hormones,broad,None,2,1,2.78,0.5,2.78,0,0,
Leads-Search-1,Women's Health & Hormones,pcos specialist near me,women's health naturopath,broad,Added,2,1,1.76,0.5,1.76,0,0,
Leads-Search-1,Women's Health & Hormones,preventive screenings for women,hormone doctor near me,broad,None,2,1,1.01,0.5,1.01,0,0,
Leads-Search-1,Women's Health & Hormones,thyroid symptoms,Hashimoto's naturopath,broad,None,2,1,2.87,0.5,2.87,0,0,
Leads-Search-1,Women's Health & Hormones,women's clinic near me,women's health naturopath,broad,None,2,1,2.88,0.5,2.88,1,1,2.88
Leads-Search-1,Women's Health & Hormones,women's health functional medicine near me,women's health naturopath,broad,None,2,2,15.84,1,7.92,0,0,
PNHdefense-Website traffic-Search-2,Ad group 1,dr panka,dr panka,exact,Added,2,1,5.12,0.5,5.12,0,0,
Leads-Search-1,Ad group 1,acupuncture chaska,holistic dr near me,broad,None,1,1,3.0489,1,3.0489,0,0,
Leads-Search-1,Ad group 1,acupuncture for endometriosis and fertility near me,holistic dr near me,broad,None,1,1,2.56,1,2.56,0,0,
Leads-Search-1,Ad group 1,acupuncture minnetonka,men's health naturopath,broad,None,1,1,2.5,1,2.5,1,1,2.5
Leads-Search-1,Ad group 1,acupuncture shakopee,holistic dr near me,broad,None,1,1,4.476,1,4.476,0,0,
Leads-Search-1,Ad group 1,acupuncture treatment near me,men's health naturopath,broad,None,1,1,3.09,1,3.09,0,0,
Leads-Search-1,Ad group 1,allina acupuncture,holistic dr near me,broad,None,1,1,1.47,1,1.47,0,0,
Leads-Search-1,Ad group 1,alternative healthcare providers,natural medicine Minnesota,broad,None,1,1,0.81,1,0.81,0,0,
Leads-Search-1,Ad group 1,ayurveda near me,naturopathic doctor near me,broad,None,1,1,3.01,1,3.01,0,0,
Leads-Search-1,Ad group 1,ayurvedic practitioners,holistic dr near me,broad,None,1,1,1.43,1,1.43,0,0,
Leads-Search-1,Ad group 1,best doctor for perimenopause near me,naturopathic doctor near me,broad,None,1,1,3.47,1,3.47,2,2,1.735
Leads-Search-1,Ad group 1,black woman primary care doctor,holistic dr near me,broad,None,1,1,2.68,1,2.68,0,0,
Leads-Search-1,Ad group 1,brooklyn park health partners,naturopathic doctor near me,broad,None,1,1,3,1,3,0,0,
Leads-Search-1,Ad group 1,certified holistic nutritionist near me,naturopathic doctor near me,broad,None,1,1,1.1,1,1.1,0,0,
Leads-Search-1,Ad group 1,classical homeopath near me,naturopathic doctor near me,broad,None,1,1,1.68,1,1.68,0,0,
Leads-Search-1,Ad group 1,colon cleanse near me,naturopathic doctor near me,broad,None,1,1,0.79,1,0.79,0,0,
Leads-Search-1,Ad group 1,colon hydrotherapy minneapolis,naturopathic doctor near me,broad,None,1,1,2.35,1,2.35,0,0,
Leads-Search-1,Ad group 1,colonic hydrotherapy,holistic dr near me,broad,None,1,1,1.32,1,1.32,0,0,
Leads-Search-1,Ad group 1,craniosacral therapy near me,integrative health near me,broad,None,1,1,1.52,1,1.52,0,0,
Leads-Search-1,Ad group 1,cupping near me,alternative medicine doctors near me,broad,Excluded,1,1,2.67,1,2.67,0,0,
Leads-Search-1,Ad group 1,developmental pediatrician,natural pediatrician near me,broad,None,1,1,1.03,1,1.03,0,0,
Leads-Search-1,Ad group 1,doctors for perimenopause,holistic dr near me,broad,None,1,1,2.0218,1,2.0218,5,5,0.4044
Leads-Search-1,Ad group 1,dr amy myers,naturopathic doctor near me,broad,None,1,1,1.52,1,1.52,0,0,
Leads-Search-1,Ad group 1,dr dan mcdonald albertville mn,holistic dr near me,broad,None,1,1,3.07,1,3.07,0,0,
Leads-Search-1,Ad group 1,dr hoque,holistic dr near me,broad,None,1,1,1.48,1,1.48,0,0,
Leads-Search-1,Ad group 1,dr wei chieh young,holistic dr near me,broad,None,1,1,1.83,1,1.83,0,0,
Leads-Search-1,Ad group 1,fdn p near me,naturopathic doctor near me,broad,None,1,1,2.29,1,2.29,0,0,
Leads-Search-1,Ad group 1,functional doctors in my area,alternative medicine doctors near me,phrase (close variant),None,1,1,1.73,1,1.73,0,0,
Leads-Search-1,Ad group 1,functional health providers near me,holistic medicine Minneapolis,broad,None,1,1,4.4367,1,4.4367,2,2,2.2184
Leads-Search-1,Ad group 1,functional medicine doctor st paul,natural pediatrician near me,broad,None,1,1,1.8,1,1.8,0,0,
Leads-Search-1,Ad group 1,functional medicine nutritionist near me,integrative medicine near me,phrase (close variant),None,1,1,3.26,1,3.26,0,0,
Leads-Search-1,Ad group 1,functional medicine practitioner near me,men's health naturopath,broad,None,1,1,2.28,1,2.28,0,0,
Leads-Search-1,Ad group 1,functional medicine san diego,integrative medicine near me,broad,None,1,1,1.01,1,1.01,0,0,
Leads-Search-1,Ad group 1,functional medicine women's health near me,holistic dr near me,broad,None,1,1,4.42,1,4.42,0,0,
Leads-Search-1,Ad group 1,gastroenterologist minneapolis,holistic medicine Minneapolis,broad,None,1,1,1.63,1,1.63,0,0,
Leads-Search-1,Ad group 1,gut doctor near me,naturopathic doctor near me,broad,None,1,1,1.45,1,1.45,0,0,
Leads-Search-1,Ad group 1,hashimotos specialists near me,integrative medicine near me,broad,None,1,1,2.9851,1,2.9851,0,0,
Leads-Search-1,Ad group 1,health and wellness,naturopathic doctor near me,broad,None,1,1,0.68,1,0.68,0,0,
Leads-Search-1,Ad group 1,health clinic,holistic dr near me,broad,None,1,1,0.89,1,0.89,0,0,
Leads-Search-1,Ad group 1,healthpartners physicians,integrative health near me,broad,None,1,1,0.1913,1,0.1913,0,0,
Leads-Search-1,Ad group 1,highly rated doctors in my area,holistic dr near me,broad,None,1,1,0.87,1,0.87,0,0,
Leads-Search-1,Ad group 1,holistic,alternative medicine doctors near me,broad,Excluded,1,1,0.1872,1,0.1872,0,0,
Leads-Search-1,Ad group 1,holistic doctors covered by insurance,integrative medicine near me,broad,None,1,1,1.4414,1,1.4414,0,0,
Leads-Search-1,Ad group 1,holistic doctors near me that take medicare,naturopathic doctor near me,phrase (close variant),None,1,1,0.6986,1,0.6986,0,0,
Leads-Search-1,Ad group 1,holistic family doctor near me,holistic dr near me,exact (close variant),None,1,1,1.65,1,1.65,0,0,
Leads-Search-1,Ad group 1,holistic health care near me,natural pediatrician near me,broad,None,1,1,2.58,1,2.58,1,1,2.58
Leads-Search-1,Ad group 1,holistic health clinic,holistic dr near me,broad,None,1,1,2.71,1,2.71,0,0,
Leads-Search-1,Ad group 1,holistic health minneapolis,holistic medicine Minneapolis,exact (close variant),None,1,1,1.9,1,1.9,0,0,
Leads-Search-1,Ad group 1,holistic md near me,holistic dr near me,exact (close variant),None,1,1,2.72,1,2.72,0,0,
Leads-Search-1,Ad group 1,holistic obgyn,holistic dr near me,broad,None,1,1,3.2,1,3.2,2,2,1.6
Leads-Search-1,Ad group 1,holistic treatment,naturopathic doctor Minneapolis,broad,None,1,1,0.57,1,0.57,0,0,
Leads-Search-1,Ad group 1,homeopathic doctor near me,holistic dr near me,phrase (close variant),None,1,1,2.37,1,2.37,0,0,
Leads-Search-1,Ad group 1,homeopathic psychiatrist,holistic dr near me,broad,None,1,1,3.3425,1,3.3425,0,0,
Leads-Search-1,Ad group 1,hormonal naturopath,integrative medicine near me,broad,None,1,1,1.74,1,1.74,0,0,
Leads-Search-1,Ad group 1,hormonal wellness center,natural medicine Minnesota,broad,None,1,2,1.68,2,0.84,0,0,
Leads-Search-1,Ad group 1,how to lower cholesterol without taking statins,integrative medicine near me,broad,None,1,1,1.42,1,1.42,0,0,
Leads-Search-1,Ad group 1,hydro colon cleanse near me,naturopathic dr near me,broad,None,1,1,2.38,1,2.38,0,0,
Leads-Search-1,Ad group 1,integrative functional medicine near me,naturopathic doctor near me,broad,None,1,1,2.46,1,2.46,2,2,1.23
Leads-Search-1,Ad group 1,integrative health clinics near me,naturopathic doctor near me,broad,None,1,1,2.03,1,2.03,1,1,2.03
Leads-Search-1,Ad group 1,internal medicine doctors,alternative medicine doctors near me,broad,None,1,1,1.99,1,1.99,0,0,
Leads-Search-1,Ad group 1,internal medicine doctors near me,integrative medicine near me,broad,None,1,1,2.32,1,2.32,0,0,
Leads-Search-1,Ad group 1,janine bowring,holistic dr near me,broad,None,1,1,0.16,1,0.16,0,0,
Leads-Search-1,Ad group 1,japanese herbalist near me,holistic dr near me,broad,None,1,1,1.47,1,1.47,0,0,
Leads-Search-1,Ad group 1,kat hopkins,integrative medicine near me,broad,None,1,1,3.93,1,3.93,0,0,
Leads-Search-1,Ad group 1,lyme disease specialist minnesota,holistic dr near me,broad,None,1,1,2.7484,1,2.7484,0,0,
Leads-Search-1,Ad group 1,men's health clinic minneapolis,holistic dr near me,broad,None,1,1,0.98,1,0.98,0,0,
Leads-Search-1,Ad group 1,menopause center of minnesota,women's health naturopath,broad,None,1,1,2.12,1,2.12,0,0,
Leads-Search-1,Ad group 1,microbiome specialist near me,holistic dr near me,broad,None,1,1,1.93,1,1.93,0,0,
Leads-Search-1,Ad group 1,minnetonka acupuncture,holistic dr near me,broad,None,1,1,1.76,1,1.76,1,1,1.76
Leads-Search-1,Ad group 1,mn acupuncture,natural medicine Minnesota,phrase (close variant),None,1,1,2.72,1,2.72,0,0,
Leads-Search-1,Ad group 1,natural healing near me,holistic dr near me,exact (close variant),None,1,1,3.19,1,3.19,0,0,
Leads-Search-1,Ad group 1,natural remedy for hypothyroidism,holistic dr near me,broad,None,1,1,2.26,1,2.26,0,0,
Leads-Search-1,Ad group 1,naturopathic doctor mn,naturopathic doctor Minneapolis,exact (close variant),None,1,1,3.2,1,3.2,0,0,
Leads-Search-1,Ad group 1,naturopathic doctors in minnesota,naturopathic doctor Minneapolis,exact (close variant),None,1,1,0.6,1,0.6,1,1,0.6
Leads-Search-1,Ad group 1,nd doctor,naturopathic doctor near me,exact (close variant),None,1,1,2.05,1,2.05,0,0,
Leads-Search-1,Ad group 1,pediatric direct primary care near me,natural pediatrician near me,broad,None,1,1,2.73,1,2.73,0,0,
Leads-Search-1,Ad group 1,pediatrician near me,natural pediatrician near me,broad,None,1,1,2.17,1,2.17,0,0,
Leads-Search-1,Ad group 1,primary care providers that accept medicaid near me,alternative medicine doctors near me,broad,None,1,1,1.2723,1,1.2723,0,0,
Leads-Search-1,Ad group 1,rife frequency healing near me,integrative medicine near me,broad,None,1,1,0.73,1,0.73,0,0,
Leads-Search-1,Ad group 1,sexual health,men's health naturopath,broad,None,1,1,0.14,1,0.14,0,0,
Leads-Search-1,Ad group 1,top rated doctors near me,naturopathic doctor near me,broad,None,1,1,0.62,1,0.62,0,0,
Leads-Search-1,Ad group 1,top rated naturopathic doctor,natural pediatrician near me,broad,None,1,1,1.83,1,1.83,0,0,
Leads-Search-1,Ad group 1,vagus nerve healing frequency,functional medicine,broad,None,1,1,0.43,1,0.43,0,0,
Leads-Search-1,Ad group 1,wellness centers near me,integrative medicine near me,broad,None,1,2,2.2469,2,1.1234,0,0,
Leads-Search-1,Ad group 1,wellness doctors near me,naturopathic doctor near me,broad,None,1,1,1.51,1,1.51,0,0,
Leads-Search-1,Ad group 1,wellness hub,naturopathic doctor near me,broad,None,1,1,2.35,1,2.35,0,0,
Leads-Search-1,Ad group 1,zyto practitioners near me,integrative medicine near me,broad,None,1,1,1.26,1,1.26,0,0,
Leads-Search-1,Functional & Integrative Medicine,allan warshowsky md,functional holistic medicine,broad,None,1,1,2.13,1,2.13,0,0,
Leads-Search-1,Functional & Integrative Medicine,alternative medicine near me,functional medicine doctors near me,broad,None,1,1,0.4,1,0.4,0,0,
Leads-Search-1,Functional & Integrative Medicine,best female geriatric doctors near me,functional medicine doctors near me,broad,None,1,1,2.2717,1,2.2717,0,0,
Leads-Search-1,Functional & Integrative Medicine,best fibromyalgia doctor near me,functional doctor in my area,broad,None,1,1,2.2,1,2.2,0,0,
Leads-Search-1,Functional & Integrative Medicine,best integrative medicine doctors near me,integrative medicine near me,exact (close variant),None,1,1,5.2,1,5.2,0,0,
Leads-Search-1,Functional & Integrative Medicine,best primary care physician near me,functional medical doctors,broad,None,1,1,1.6,1,1.6,0,0,
Leads-Search-1,Functional & Integrative Medicine,best primary care physicians near me,functional medicine near me,broad,None,1,1,1.37,1,1.37,0,0,
Leads-Search-1,Functional & Integrative Medicine,best primary doctors near me,functional doctor,broad,None,1,1,0.4,1,0.4,0,0,
Leads-Search-1,Functional & Integrative Medicine,best primary doctors near me,functional doctor in my area,broad,None,1,1,1.1949,1,1.1949,0,0,
Leads-Search-1,Functional & Integrative Medicine,best primary doctors near me,functional integrative doctor,broad,None,1,1,0.81,1,0.81,0,0,
Leads-Search-1,Functional & Integrative Medicine,biocharger near me,functional medicine near me,broad,None,1,1,2.32,1,2.32,0,0,
Leads-Search-1,Functional & Integrative Medicine,bluestone physician services mn,functional medicine clinic near me,broad,None,1,1,2.33,1,2.33,0,0,
Leads-Search-1,Functional & Integrative Medicine,broadway clinic near me,integrative medicine near me,broad,None,1,1,2.3,1,2.3,0,0,
Leads-Search-1,Functional & Integrative Medicine,chronic,functional medicines,broad,None,1,1,8.1383,1,8.1383,0,0,
Leads-Search-1,Functional & Integrative Medicine,colon hydrotherapy,functional integrative medicine near me,broad,Excluded,1,1,1.45,1,1.45,0,0,
Leads-Search-1,Functional & Integrative Medicine,diabetes specialist,functional doctor,broad,None,1,1,1.28,1,1.28,0,0,
Leads-Search-1,Functional & Integrative Medicine,dissolve kidney stones,functional medicine practitioner,broad,None,1,1,0.3,1,0.3,0,0,
Leads-Search-1,Functional & Integrative Medicine,doctors near me,functional medicine,broad,None,1,1,0.6221,1,0.6221,1,1,0.6221
Leads-Search-1,Functional & Integrative Medicine,dr axe,functional medicine near me,broad,Excluded,1,1,0.19,1,0.19,0,0,
Leads-Search-1,Functional & Integrative Medicine,dr casey means,natural functional doctor,phrase (close variant),None,1,1,0.5474,1,0.5474,0,0,
Leads-Search-1,Functional & Integrative Medicine,dr oppitz,natural functional doctor,phrase (close variant),None,1,1,2.33,1,2.33,0,0,
Leads-Search-1,Functional & Integrative Medicine,enema nurse near me,functional medicine near me,broad,None,1,1,2.3,1,2.3,0,0,
Leads-Search-1,Functional & Integrative Medicine,family practice physician near me,functional medicine doctors near me,broad,None,1,1,0.79,1,0.79,0,0,
Leads-Search-1,Functional & Integrative Medicine,finding a doctor near me,integrative medicine doctors in my area,broad,None,1,2,3.2497,2,1.6248,0,0,
Leads-Search-1,Functional & Integrative Medicine,first choice wellness near me,functional medicine near me,broad,None,1,2,4.64,2,2.32,0,0,
Leads-Search-1,Functional & Integrative Medicine,food sensitivity test near me,functional medicine near me,broad,None,1,1,1.13,1,1.13,0,0,
Leads-Search-1,Functional & Integrative Medicine,free gi doctor near me,functional medicine doctors in my area,broad,None,1,2,3.8,2,1.9,0,0,
Leads-Search-1,Functional & Integrative Medicine,functional doctors near me,functional doctor in my area,exact (close variant),None,1,2,1.92,2,0.96,0,0,
Leads-Search-1,Functional & Integrative Medicine,functional dr near me that takes insurance,functional medicine near me,phrase (close variant),None,1,1,2.3,1,2.3,0,0,
Leads-Search-1,Functional & Integrative Medicine,functional medicine doctor maple grove,functional doctor,phrase,None,1,1,2.5,1,2.5,0,0,
Leads-Search-1,Functional & Integrative Medicine,functional medicine doctor mn,functional medicine,phrase,None,1,1,2.32,1,2.32,0,0,
Leads-Search-1,Functional & Integrative Medicine,functional medicine doctor st paul,functional medicine,phrase,None,1,1,0.9641,1,0.9641,0,0,
Leads-Search-1,Functional & Integrative Medicine,functional medicine minneapolis,integrative medicine near me,broad,None,1,1,3.17,1,3.17,0,0,
Leads-Search-1,Functional & Integrative Medicine,hashimoto doctor near me,functional medical,broad,None,1,1,1.21,1,1.21,0,0,
Leads-Search-1,Functional & Integrative Medicine,hcmc,functional medicine doctors near me,broad,Excluded,1,1,2.28,1,2.28,0,0,
Leads-Search-1,Functional & Integrative Medicine,hcmc south 8th street minneapolis mn,functional medicine clinic near me,broad,None,1,1,1.71,1,1.71,0,0,
Leads-Search-1,Functional & Integrative Medicine,health wellness,functional medicine,broad,None,1,1,0.99,1,0.99,0,0,
Leads-Search-1,Functional & Integrative Medicine,healthy lifestyle habits,functional medicine,broad,None,1,1,0.9,1,0.9,0,0,
Leads-Search-1,Functional & Integrative Medicine,holistic gut doctor near me,functional medical physician,phrase (close variant),None,1,1,1.11,1,1.11,0,0,
Leads-Search-1,Functional & Integrative Medicine,holistic treatment for high blood pressure,functional medicine,broad,None,1,1,2.32,1,2.32,0,0,
Leads-Search-1,Functional & Integrative Medicine,homeopathic migraine relief,integrative doctor,broad,None,1,1,0.3,1,0.3,0,0,
Leads-Search-1,Functional & Integrative Medicine,how to cure gout permanently,natural functional doctor,broad,None,1,1,1.411,1,1.411,0,0,
Leads-Search-1,Functional & Integrative Medicine,how to cure ulcerative colitis permanently,functional medicine near me,broad,None,1,1,2.11,1,2.11,0,0,
Leads-Search-1,Functional & Integrative Medicine,how to fix memory loss from depression,functional holistic medicine,broad,None,1,1,9.8429,1,9.8429,0,0,
Leads-Search-1,Functional & Integrative Medicine,ideal health and weight,functional medicine,broad,None,1,1,1.42,1,1.42,0,0,
Leads-Search-1,Functional & Integrative Medicine,inflammation treatment,functional medicine,broad,None,1,1,0.83,1,0.83,0,0,
Leads-Search-1,Functional & Integrative Medicine,integrative dermatology near me,integrative medicine doctors in my area,phrase (close variant),None,1,1,2.33,1,2.33,0,0,
Leads-Search-1,Functional & Integrative Medicine,integrative dermatology near me,integrative medicine near me,phrase (close variant),None,1,1,1.28,1,1.28,0,0,
Leads-Search-1,Functional & Integrative Medicine,integrative medicine doctors near me,integrative medicine near me,exact (close variant),None,1,1,2.23,1,2.23,0,0,
Leads-Search-1,Functional & Integrative Medicine,integrative rheumatologist,functional medicine doctors near me,broad,None,1,1,2.32,1,2.32,0,0,
Leads-Search-1,Functional & Integrative Medicine,lakeville specialty center suite 250,functional medicine doctors near me,broad,None,1,1,2.3,1,2.3,0,0,
Leads-Search-1,Functional & Integrative Medicine,local functional medicine doctor,functional medicine near me,exact (close variant),None,1,1,2.29,1,2.29,0,0,
Leads-Search-1,Functional & Integrative Medicine,longevity products,functional medicine,broad,None,1,1,0.34,1,0.34,0,0,
Leads-Search-1,Functional & Integrative Medicine,medical examination,functional medicine doctors near me,broad,None,1,1,1.42,1,1.42,0,0,
Leads-Search-1,Functional & Integrative Medicine,medical medium,functional integrative medicine near me,broad,Excluded,1,1,2.3,1,2.3,0,0,
Leads-Search-1,Functional & Integrative Medicine,medical treatments,functional doctor in my area,broad,None,1,1,1.4961,1,1.4961,1,1,1.4961
Leads-Search-1,Functional & Integrative Medicine,mngi minneapolis,best functional doctors near me,broad,None,1,1,2.32,1,2.32,0,0,
Leads-Search-1,Functional & Integrative Medicine,mystic clinic,functional integrative doctor,broad,Excluded,1,1,1.41,1,1.41,0,0,
Leads-Search-1,Functional & Integrative Medicine,natural cardiologist near me,integrative medicine near me,phrase (close variant),None,1,1,2.31,1,2.31,0,0,
Leads-Search-1,Functional & Integrative Medicine,natural path doctor near me,functional medicine,broad,None,1,1,2.27,1,2.27,0,0,
Leads-Search-1,Functional & Integrative Medicine,natural treatment for inflammation,functional medicine,broad,None,1,1,2.27,1,2.27,0,0,
Leads-Search-1,Functional & Integrative Medicine,naturalist doctor near me,integrative medicine near me,phrase (close variant),None,1,1,3.89,1,3.89,0,0,
Leads-Search-1,Functional & Integrative Medicine,naturopath dr near me,integrative health near me,phrase (close variant),None,1,1,2.29,1,2.29,0,0,
Leads-Search-1,Functional & Integrative Medicine,naturopath for weight loss near me,integrative medicine near me,phrase (close variant),None,1,1,0.7234,1,0.7234,0,0,
Leads-Search-1,Functional & Integrative Medicine,naturopath near me,natural functional doctor,phrase (close variant),None,1,1,2.3,1,2.3,0,0,
Leads-Search-1,Functional & Integrative Medicine,naturopathic doctor,integrative medicine near me,broad,None,1,1,1.75,1,1.75,0,0,
Leads-Search-1,Functional & Integrative Medicine,naturopathic doctor specializing in mental health,functional medicine near me,broad,None,1,1,1.02,1,1.02,0,0,
Leads-Search-1,Functional & Integrative Medicine,naturopathic doctors in minnesota,functional medical physician,broad,None,1,1,2.21,1,2.21,0,0,
Leads-Search-1,Functional & Integrative Medicine,non traditional doctors near me,functional medicine doctors near me,broad,None,1,1,2.6811,1,2.6811,0,0,
Leads-Search-1,Functional & Integrative Medicine,nrt testing near me,functional doctor in my area,broad,None,1,1,2.2,1,2.2,0,0,
Leads-Search-1,Functional & Integrative Medicine,osteoporosis advice,functional medicine,broad,None,1,1,0.86,1,0.86,0,0,
