Yearmonth,Campaignname,Adgroupname,AdgroupID,Adgroupstatus,Keyword,KeywordID,Matchtype,Keywordstatus,HistoricalSearchPredictedCtr,HistoricalCreativeQualityScore,HistoricalLandingPageQualityScore,HistoricalQualityScore,HistoricalSearchPredictedCtr_metric,HistoricalCreativeQualityScore_metric,HistoricalLandingPageQualityScore_metric,Impressions,Clicks,Cost,Conversions
2025|08,Leads-Search-1,Ad group 1,183759893484,removed,naturopathic family medicine,302483789996,Broad,enabled,,,,0,,,,48,0,0,0
2025|08,Leads-Search-1,Ad group 1,183759893484,removed,naturopathic practitioner near me,381953148433,Broad,enabled,,,,0,,,,1,0,0,0
2025|08,Leads-Search-1,Ad group 1,183759893484,removed,pediatric naturopath near me,547692999832,Broad,enabled,Below average,Below average,Average,,-1,-1,1,0,0,0,0
2025|08,Leads-Search-1,Ad group 1,183759893484,removed,women's health naturopath,303396160999,Broad,enabled,,,,0,,,,4,0,0,0
2025|09,Leads-Search-1,Ad group 1,183759893484,removed,holistic medicine Minneapolis,2431240508818,Phrase,enabled,Below average,Average,Above average,,-1,1,2,0,0,0,0
2025|09,Leads-Search-1,Ad group 1,183759893484,removed,holistic medicine Minneapolis,2457285927994,Broad,enabled,Below average,Average,Above average,,-1,1,2,0,0,0,0
2025|09,Leads-Search-1,Ad group 1,183759893484,removed,integrative medicine near me,312654897788,Broad,enabled,Below average,Below average,Above average,,-1,-1,2,0,0,0,0
2025|09,Leads-Search-1,Ad group 1,183759893484,removed,integrative medicine near me,312654900388,Phrase,enabled,Below average,Below average,Above average,,-1,-1,2,0,0,0,0
2025|09,Leads-Search-1,Ad group 1,183759893484,removed,natural doctor near me,298794213593,Broad,enabled,Below average,Below average,Below average,,-1,-1,-1,0,0,0,0
2025|09,Leads-Search-1,Ad group 1,183759893484,removed,natural doctor near me,301055025575,Phrase,enabled,Below average,Below average,Below average,,-1,-1,-1,0,0,0,0
2025|09,Leads-Search-1,Ad group 1,183759893484,removed,natural pediatrician near me,352635961367,Broad,enabled,Average,Below average,Average,,1,-1,1,0,0,0,0
2025|09,Leads-Search-1,Ad group 1,183759893484,removed,naturopathic doctor Minneapolis,2431240508378,Phrase,enabled,Below average,Above average,Above average,,-1,2,2,0,0,0,0
2025|09,Leads-Search-1,Ad group 1,183759893484,removed,naturopathic doctor Minneapolis,2457285929674,Broad,enabled,Below average,Above average,Above average,,-1,2,2,0,0,0,0
2025|09,Leads-Search-1,Ad group 1,183759893484,removed,naturopathic doctor near me,44833314052,Exact,enabled,Below average,Below average,Above average,,-1,-1,2,0,0,0,0
2025|09,Leads-Search-1,Ad group 1,183759893484,removed,naturopathic doctor near me,296621012791,Broad,enabled,Below average,Below average,Above average,,-1,-1,2,0,0,0,0
2025|09,Leads-Search-1,Ad group 1,183759893484,removed,pediatric naturopath near me,547692999832,Broad,enabled,Below average,Below average,Average,,-1,-1,1,0,0,0,0
2025|10,Leads-Search-1,Ad group 1,183759893484,removed,holistic medicine Minneapolis,2431240508818,Phrase,enabled,Below average,Average,Above average,,-1,1,2,0,0,0,0
2025|10,Leads-Search-1,Ad group 1,183759893484,removed,holistic medicine Minneapolis,2457285927994,Broad,enabled,Below average,Average,Above average,,-1,1,2,0,0,0,0
2025|10,Leads-Search-1,Ad group 1,183759893484,removed,integrative medicine near me,312654897788,Broad,enabled,Below average,Below average,Above average,,-1,-1,2,0,0,0,0
2025|10,Leads-Search-1,Ad group 1,183759893484,removed,integrative medicine near me,312654900388,Phrase,enabled,Below average,Below average,Above average,,-1,-1,2,0,0,0,0
2025|10,Leads-Search-1,Ad group 1,183759893484,removed,natural doctor near me,298794213593,Broad,enabled,Below average,Below average,Below average,,-1,-1,-1,0,0,0,0
2025|10,Leads-Search-1,Ad group 1,183759893484,removed,natural doctor near me,301055025575,Phrase,enabled,Below average,Below average,Below average,,-1,-1,-1,0,0,0,0
2025|10,Leads-Search-1,Ad group 1,183759893484,removed,natural pediatrician near me,352635961367,Broad,enabled,Average,Below average,Average,,1,-1,1,0,0,0,0
2025|10,Leads-Search-1,Ad group 1,183759893484,removed,naturopathic doctor Minneapolis,2431240508378,Phrase,enabled,Below average,Above average,Above average,,-1,2,2,0,0,0,0
2025|10,Leads-Search-1,Ad group 1,183759893484,removed,naturopathic doctor Minneapolis,2457285929674,Broad,enabled,Below average,Above average,Above average,,-1,2,2,0,0,0,0
2025|10,Leads-Search-1,Ad group 1,183759893484,removed,naturopathic doctor near me,44833314052,Exact,enabled,Below average,Below average,Above average,,-1,-1,2,0,0,0,0
2025|10,Leads-Search-1,Ad group 1,183759893484,removed,naturopathic doctor near me,296621012791,Broad,enabled,Below average,Below average,Above average,,-1,-1,2,0,0,0,0
2025|10,Leads-Search-1,Ad group 1,183759893484,removed,pediatric naturopath near me,547692999832,Broad,enabled,Below average,Below average,Average,,-1,-1,1,0,0,0,0
2025|11,Leads-Search-1,Ad group 1,183759893484,removed,holistic medicine Minneapolis,2431240508818,Phrase,enabled,Below average,Average,Above average,,-1,1,2,0,0,0,0
2025|11,Leads-Search-1,Ad group 1,183759893484,removed,holistic medicine Minneapolis,2457285927994,Broad,enabled,Below average,Average,Above average,,-1,1,2,0,0,0,0
2025|11,Leads-Search-1,Ad group 1,183759893484,removed,integrative medicine near me,312654897788,Broad,enabled,Below average,Below average,Above average,,-1,-1,2,0,0,0,0
2025|11,Leads-Search-1,Ad group 1,183759893484,removed,integrative medicine near me,312654900388,Phrase,enabled,Below average,Below average,Above average,,-1,-1,2,0,0,0,0
2025|11,Leads-Search-1,Ad group 1,183759893484,removed,natural pediatrician near me,352635961367,Broad,enabled,Average,Below average,Average,,1,-1,1,0,0,0,0
2025|11,Leads-Search-1,Ad group 1,183759893484,removed,naturopathic doctor Minneapolis,2431240508378,Phrase,enabled,Below average,Above average,Above average,,-1,2,2,0,0,0,0
2025|11,Leads-Search-1,Ad group 1,183759893484,removed,naturopathic doctor Minneapolis,2457285929674,Broad,enabled,Below average,Above average,Above average,,-1,2,2,0,0,0,0
2025|11,Leads-Search-1,Ad group 1,183759893484,removed,naturopathic doctor near me,44833314052,Exact,enabled,Below average,Below average,Above average,,-1,-1,2,0,0,0,0
2025|11,Leads-Search-1,Ad group 1,183759893484,removed,naturopathic doctor near me,296621012791,Broad,enabled,Below average,Below average,Above average,,-1,-1,2,0,0,0,0
2026|04,Leads-Search-1,Ad group 1,183759893484,removed,holistic dr near me,296740931208,Broad,enabled,,,,0,,,,120,3,5.5,0
2026|04,Leads-Search-1,Ad group 1,183759893484,removed,holistic medicine Minneapolis,2457285927994,Broad,enabled,,,,0,,,,132,1,2.39,0
2026|04,Leads-Search-1,Ad group 1,183759893484,removed,integrative medicine near me,312654897788,Broad,enabled,Below average,Below average,Average,3,-1,-1,1,210,13,33.47,0
2026|04,Leads-Search-1,Ad group 1,183759893484,removed,integrative medicine near me,312654900388,Phrase,enabled,Below average,Below average,Average,,-1,-1,1,0,0,0,0
2026|04,Leads-Search-1,Ad group 1,183759893484,removed,natural doctor near me,298794213593,Broad,enabled,Below average,Below average,Above average,5,-1,-1,2,1,0,0,0
2026|04,Leads-Search-1,Ad group 1,183759893484,removed,natural doctor near me,301055025575,Phrase,enabled,Below average,Below average,Above average,,-1,-1,2,0,0,0,0
2026|04,Leads-Search-1,Ad group 1,183759893484,removed,naturopathic doctor Minneapolis,2431240508378,Phrase,enabled,Below average,Below average,Above average,,-1,-1,2,0,0,0,0
2026|04,Leads-Search-1,Ad group 1,183759893484,removed,naturopathic doctor Minneapolis,2457285929674,Broad,enabled,Below average,Below average,Above average,5,-1,-1,2,96,3,6.75,0
2026|04,Leads-Search-1,Ad group 1,183759893484,removed,naturopathic doctor near me,44833314052,Exact,enabled,Above average,Average,Above average,9,2,1,2,1,1,3.75,8
2026|04,Leads-Search-1,Ad group 1,183759893484,removed,naturopathic doctor near me,296621012791,Broad,enabled,Above average,Average,Above average,9,2,1,2,600,47,134.3585,8
2026|05,Leads-Search-1,Ad group 1,183759893484,removed,alternative medicine doctors near me,296836537601,Broad,enabled,,,,0,,,,16,1,0.1872,0
2026|05,Leads-Search-1,Ad group 1,183759893484,removed,functional medicine,10957761,Broad,enabled,Below average,Below average,Above average,5,-1,-1,2,158,4,6.6408,0
2026|05,Leads-Search-1,Ad group 1,183759893484,removed,functional medicine clinic near me,629327041832,Broad,enabled,Below average,Average,Average,4,-1,1,1,7,1,2.73,0
2026|05,Leads-Search-1,Ad group 1,183759893484,removed,functional medicine near me,325505212743,Broad,enabled,Below average,Below average,Average,3,-1,-1,1,29,2,4.07,0
2026|05,Leads-Search-1,Ad group 1,183759893484,removed,holistic dr near me,296740931208,Broad,enabled,,,,0,,,,106,8,20.5782,0
2026|05,Leads-Search-1,Ad group 1,183759893484,removed,holistic medicine Minneapolis,2431240508818,Phrase,enabled,,,,0,,,,2,0,0,0
2026|05,Leads-Search-1,Ad group 1,183759893484,removed,holistic medicine Minneapolis,2457285927994,Broad,enabled,,,,0,,,,58,2,3.17,0
2026|05,Leads-Search-1,Ad group 1,183759893484,removed,integrative health near me,807046778385,Broad,enabled,Below average,Below average,Average,3,-1,-1,1,14,3,3.2913,0
2026|05,Leads-Search-1,Ad group 1,183759893484,removed,integrative medicine near me,312654897788,Broad,enabled,Below average,Below average,Average,3,-1,-1,1,178,12,24.7071,9
2026|05,Leads-Search-1,Ad group 1,183759893484,removed,integrative medicine near me,312654900388,Phrase,enabled,Below average,Below average,Average,,-1,-1,1,0,0,0,0
2026|05,Leads-Search-1,Ad group 1,183759893484,removed,natural doctor near me,298794213593,Broad,enabled,Below average,Below average,Above average,5,-1,-1,2,3,0,0,0
2026|05,Leads-Search-1,Ad group 1,183759893484,removed,natural doctor near me,301055025575,Phrase,enabled,Below average,Below average,Above average,,-1,-1,2,0,0,0,0
2026|05,Leads-Search-1,Ad group 1,183759893484,removed,natural medicine Minnesota,2457285928234,Broad,enabled,,,,0,,,,41,0,0,0
2026|05,Leads-Search-1,Ad group 1,183759893484,removed,naturopathic doctor Minneapolis,2431240508378,Phrase,enabled,Below average,Below average,Above average,,-1,-1,2,0,0,0,0
2026|05,Leads-Search-1,Ad group 1,183759893484,removed,naturopathic doctor Minneapolis,2457285929674,Broad,enabled,Below average,Below average,Above average,5,-1,-1,2,45,0,0,0
