Campaignname,CampaignID,AssetGroupID,AssetGroupName,AssetGroupStatus,AssetID,AssetFieldType,AssetType,AssetSource,AssetText,YouTubeVideoID,YouTubeVideoTitle,FullSizeImageURL
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,242864989413,Description,Text,Advertiser,Lasting wellness through advanced lab testing & quality supplements. Free intro call!,,,
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,242864989416,Description,Text,Advertiser,"Hopkins' Drs. Panka: Expert care for autoimmune, GI, hormones & fatigue. Start healing.",,,
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,242864989419,Long headline,Text,Advertiser,"Regain Your Vitality With Drs. Panka in Hopkins: Personalized, Evidence-Based Naturopathy.",,,
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,242864989422,Long headline,Text,Advertiser,Tired of Symptoms? Hopkins' Panka Natural Health Finds Root Causes for Lasting Wellness.,,,
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,242864989425,Long headline,Text,Advertiser,"Your Health Partners in Hopkins: Drs. Panka Provide Compassionate, Root Cause Focused Care",,,
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,242864989428,Long headline,Text,Advertiser,"Panka Natural Health: Genuine Care, Real Results with Advanced Labs & Personalized Plans.",,,
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,242864989431,Long headline,Text,Advertiser,"Boost Energy, Improve Digestion: Drs. Panka's Functional Medicine Gets to the Root Cause.",,,
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,242864989434,Business name,Text,Advertiser,Panka Natural Health,,,
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,245449535838,Marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/733982221557134033
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,245449565763,Portrait marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/10607980400216825847
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,245449569921,Square marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/9274812601727805336
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,252224424701,Headline,Text,Advertiser,Health Crisis Help,,,
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,252224424704,Headline,Text,Advertiser,Smart Health Investment,,,
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,252224424707,Headline,Text,Advertiser,Avoid Expensive Doctors,,,
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,252249747689,Headline,Text,Advertiser,Expert Naturopathic Care Team,,,
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,252253890830,Headline,Text,Advertiser,HSA/FSA Accepted Here,,,
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,252325105858,Headline,Text,Advertiser,Find Your Root Cause,,,
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,252325105861,Headline,Text,Advertiser,Start Your Healing Journey,,,
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,252325105864,Headline,Text,Advertiser,"Quality Care, Honest Pricing",,,
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,252334600356,Description,Text,Advertiser,Prevent costly health problems. Hopkins NDs with free intro call. Smart investment.,,,
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,252334600359,Description,Text,Advertiser,West Metro NDs: Skip insurance hassles. Direct-pay care that works. Evidence-based.,,,
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,252334600362,Description,Text,Advertiser,Hopkins natural medicine: Avoid expensive specialists. Save money with a free intro call.,,,
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,252334600365,Description,Text,Advertiser,Early detection saves thousands. Advanced labs + natural solutions. Free intro call.,,,
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,252334600368,Description,Text,Advertiser,"Autoimmune, GI, hormone help without costly drugs. Hopkins experts. Start healing.",,,
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,252334600371,Long headline,Text,Advertiser,Hopkins NDs: Regain energy without costly specialists. Personalized care that works.,,,
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,252334600374,Long headline,Text,Advertiser,"Tired of symptoms? Hopkins NDs find root causes, avoid expensive treatments. Real help.",,,
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,252334600377,Long headline,Text,Advertiser,Hopkins health experts find root causes before problems cost thousands. Real results.,,,
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,252334600380,Long headline,Text,Advertiser,"Hopkins NDs: Genuine care, real results with advanced labs. Prevent expensive problems.",,,
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,252334600383,Long headline,Text,Advertiser,Energy + digestion problems? Hopkins functional medicine prevents costly complications.,,,
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,252335951544,Headline,Text,Advertiser,Prevent Health Problems,,,
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,252335951547,Headline,Text,Advertiser,Executive Health Care,,,
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,252335951550,Headline,Text,Advertiser,Direct Pay Health Care,,,
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,252356526447,Headline,Text,Advertiser,Licensed Naturopathic Doctors,,,
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,252356526450,Headline,Text,Advertiser,Holistic Care for Your Family,,,
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,255148332153,YouTube video,YouTube video,Automatically created,,-Wna-NMKDhQ,"Shortened: Welcome to Panka Natural Health – Your Path to Personalized, Integrative Healthcare",
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,258628583882,Portrait marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/4030438364137557930
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,258628836017,Portrait marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/18364359528711917823
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,258628930655,Square marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/2472602563875674704
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,258629105342,Marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/16341424755235097570
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,258704059549,Square marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/3557280406583450380
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,258704391100,Portrait marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/227011549518001566
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,258704426542,Portrait marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/4117377076144342241
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,258704506891,Square marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/8004199717860800639
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,258704506987,Portrait marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/4577538288638738569
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,258704542720,Square marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/17998180977325261315
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,258704710087,Square marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/14671652115122662328
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,258704710159,Marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/5628851415967919735
Campaign #1,22625352639,6582377332,Asset Group 1,Enabled,258739871736,Marketing image,Image,Advertiser,,,,https://tpc.googlesyndication.com/simgad/5999787084700868308
