Date,Campaignname,CampaignID,AdvertisingChannelType,AdvertisingChannelSubType,Campaignstatus,CampaignServingStatus,CampaignBidStrategyStatus,Currencycode,Timezone,ConfiguredBudget,BudgetName,BudgetId,BudgetStatus,BudgetPeriod,IsBudgetExplicitlyShared,CampaignMobileBidModifier,Impressions,Clicks,Cost,Ctr,CPC,CPM,interactions,Conversions,CostPerConversion,ConversionRate,conversionsByConversionDate,allConversionsByConversionDate,EstimatedCrossDeviceConversions,ROAS,Invalidclicks,SearchImpressionShare,SearchImpressionShareRaw,SearchBudgetLostImpressionShare,SearchRankLostImpressionShare,SearchTopImpressionShare,SearchAbsoluteTopImpressionShare,SearchExactMatchImpressionShare,SearchRankLostTopImpressionShare,SearchRankLostAbsoluteTopImpressionShare,SearchBudgetLostTopImpressionShare,SearchBudgetLostAbsoluteTopImpressionShare,SearchClickShare,EligibleSearchClicks,LostSearchClicks,TotalAvailableImpressions,LostImpressions,LostImpressionsDueToBudget,LostImpressionsDueToRank,dailybudget,Budget,budgetUsedPortion
2025-06-17,Campaign #1,22625352639,Performance Max,,paused,eligible,PAUSED,USD,America/Chicago,6,Campaign #1,14628148318,Enabled,day,False,,373,10,26.2003,0.0268,2.62,70.2422,59,8,3.275,0.8,7,8,0,0.3053,0,,0.1176,,,0,0,0.1401,0,0,0,0,0.0999,100,90,0,0,0,0,6,6,4.3667
2025-06-18,Campaign #1,22625352639,Performance Max,,paused,eligible,PAUSED,USD,America/Chicago,6,Campaign #1,14628148318,Enabled,day,False,,365,12,26.409,0.0329,2.2008,72.3534,30,6,4.4015,0.5,6,9,0,0.2272,2,,0.1016,,,0,0,0.1317,0,0,0,0,0.0999,120,108,0,0,0,0,6,6,4.4015
2025-06-19,Campaign #1,22625352639,Performance Max,,paused,eligible,PAUSED,USD,America/Chicago,6,Campaign #1,14628148318,Enabled,day,False,,313,10,2.85,0.0319,0.285,9.1054,109,1,2.85,0.1,2,21,0,0.3509,0,,0.0999,,,0,0,0.0999,0,0,0,0,0.0999,100,90,0,0,0,0,6,6,0.475
2025-06-20,Campaign #1,22625352639,Performance Max,,paused,eligible,PAUSED,USD,America/Chicago,6,Campaign #1,14628148318,Enabled,day,False,,229,9,1.0036,0.0393,0.1115,4.3824,63,5,0.2007,0.5556,5,5,0,4.9822,0,,0.0999,,,0,0,0.0999,0,0,0,0,0.0999,90,81,0,0,0,0,6,6,0.1673
2025-06-21,Campaign #1,22625352639,Performance Max,,paused,eligible,PAUSED,USD,America/Chicago,6,Campaign #1,14628148318,Enabled,day,False,,196,5,1.0055,0.0255,0.2011,5.1301,70,2,0.5027,0.4,2,2,0,1.9891,0,,0.0999,,,0,0,0.0999,0,0,0,0,0.0999,50,45,0,0,0,0,6,6,0.1676
2025-06-22,Campaign #1,22625352639,Performance Max,,paused,eligible,PAUSED,USD,America/Chicago,6,Campaign #1,14628148318,Enabled,day,False,,23,0,0.0088,0,,0.3833,0,0,,,1,1,0,0,0,,0.0999,,,0,0,0.0999,0,0,0,0,,,,0,0,0,0,6,6,0.0015
2025-06-23,Campaign #1,22625352639,Performance Max,,paused,eligible,PAUSED,USD,America/Chicago,6,Campaign #1,14628148318,Enabled,day,False,,101,2,0.0999,0.0198,0.05,0.9893,10,1,0.0999,0.5,0,1,0,10.0079,0,,0.0999,,,0,0,0.0999,0,0,0,0,0.0999,20,18,0,0,0,0,6,6,0.0167
2025-06-24,Campaign #1,22625352639,Performance Max,,paused,eligible,PAUSED,USD,America/Chicago,6,Campaign #1,14628148318,Enabled,day,False,,133,4,0.9731,0.0301,0.2433,7.3166,22,2,0.4866,0.5,3,3,0,2.0553,0,,0.0999,,,0,0,0.0999,0,0,0,0,0.0999,40,36,0,0,0,0,6,6,0.1622
2025-06-25,Campaign #1,22625352639,Performance Max,,paused,eligible,PAUSED,USD,America/Chicago,6,Campaign #1,14628148318,Enabled,day,False,,118,0,0.1582,0,,1.341,4,0,,,0,0,0,0,0,,0.0999,,,0,0,0.0999,0,0,0,0,,,,0,0,0,0,6,6,0.0264
2025-06-26,Campaign #1,22625352639,Performance Max,,paused,eligible,PAUSED,USD,America/Chicago,6,Campaign #1,14628148318,Enabled,day,False,,81,0,0.0445,0,,0.5492,5,0,,,1,2,0,0,0,,0.0999,,,0,0,0.0999,0,0,0,0,,,,0,0,0,0,6,6,0.0074
2025-06-27,Campaign #1,22625352639,Performance Max,,paused,eligible,PAUSED,USD,America/Chicago,6,Campaign #1,14628148318,Enabled,day,False,,103,1,0.1398,0.0097,0.1398,1.3576,7,1,0.1398,1,1,2,0,7.1513,0,,0.0999,,,0,0,0.0999,0,0,0,0,0.0999,10,9,0,0,0,0,6,6,0.0233
2025-06-28,Campaign #1,22625352639,Performance Max,,paused,eligible,PAUSED,USD,America/Chicago,6,Campaign #1,14628148318,Enabled,day,False,,124,5,0.4845,0.0403,0.0969,3.9074,25,1,0.4845,0.2,1,1,0,2.0639,0,,0.0999,,,0,0,0.0999,0,0,0,0,0.0999,50,45,0,0,0,0,6,6,0.0808
2025-06-29,Campaign #1,22625352639,Performance Max,,paused,eligible,PAUSED,USD,America/Chicago,6,Campaign #1,14628148318,Enabled,day,False,,96,3,0.2802,0.0313,0.0934,2.9192,15,10,0.028,3.3333,9,9,0,35.6837,0,,0.0999,,,0,0,0.0999,0,0,0,0,0.0999,30,27,0,0,0,0,6,6,0.0467
2025-06-30,Campaign #1,22625352639,Performance Max,,paused,eligible,PAUSED,USD,America/Chicago,6,Campaign #1,14628148318,Enabled,day,False,,3273,98,14.4206,0.0299,0.1471,4.4059,1102,88,0.1639,0.898,37,37,0,6.1024,0,,0.0999,,,0,0,0.0999,0,0,0,0,0.0999,981,883,0,0,0,0,6,6,2.4034
2025-07-01,Campaign #1,22625352639,Performance Max,,paused,eligible,PAUSED,USD,America/Chicago,6,Campaign #1,14628148318,Enabled,day,False,,12222,431,58.7273,0.0353,0.1363,4.8051,4590,197.02,0.2981,0.4571,229,229,0,3.3548,0,,0.0999,,,0,0,0.0999,0,0,0,0,0.0999,4314,3883,0,0,0,0,6,6,9.7879
2025-07-02,Campaign #1,22625352639,Performance Max,,paused,eligible,PAUSED,USD,America/Chicago,6,Campaign #1,14628148318,Enabled,day,False,,8582,297,41.2741,0.0346,0.139,4.8094,2370,223.02,0.1851,0.7509,192,192,0,5.4034,0,,0.0999,,,0,0,0.0999,0,0,0,0,0.0999,2973,2676,0,0,0,0,6,6,6.879
2025-07-03,Campaign #1,22625352639,Performance Max,,paused,eligible,PAUSED,USD,America/Chicago,6,Campaign #1,14628148318,Enabled,day,False,,6821,199,33.7492,0.0292,0.1696,4.9478,2752,76.99,0.4384,0.3869,109,109,0,2.2812,0,,0.0999,,,0,0,0.0999,0,0,0,0,0.0999,1992,1793,0,0,0,0,6,6,5.6249
2025-07-04,Campaign #1,22625352639,Performance Max,,paused,eligible,PAUSED,USD,America/Chicago,6,Campaign #1,14628148318,Enabled,day,False,,18368,614,117.7417,0.0334,0.1918,6.4102,4727,474.75,0.248,0.7732,338,338,0,4.0321,0,,0.0999,,,0,0,0.0999,0,0,0,0,0.0999,6146,5532,0,0,0,0,6,6,19.6236
2025-07-05,Campaign #1,22625352639,Performance Max,,paused,eligible,PAUSED,USD,America/Chicago,6,Campaign #1,14628148318,Enabled,day,False,,17989,531,125.41,0.0295,0.2362,6.9715,4632,244.5,0.5129,0.4605,355,355,0,1.9496,0,,0.0999,,,0,0,0.0999,0,0,0,0,0.0999,5315,4784,0,0,0,0,6,6,20.9017
2025-07-06,Campaign #1,22625352639,Performance Max,,paused,eligible,PAUSED,USD,America/Chicago,6,Campaign #1,14628148318,Enabled,day,False,,12087,474,67.0579,0.0392,0.1415,5.5479,1851,377.73,0.1775,0.7969,338,338,0,5.6329,0,,0.0999,,,0,0,0.0999,0,0,0,0,0.0999,4745,4271,0,0,0,0,6,6,11.1763
