Campaignname,Adgroupname,AdgroupID,Adgroupstatus,Keyword,KeywordID,Matchtype,Keywordstatus,SystemServingStatus,MaxCPCCurrency,LifetimeCost,LifetimeClicks,LifetimeImpressions,LifetimeConversions,LifetimeAllConversions,Ctr,CPC,Qualityscore,impressions_but_never_clicked,never_served,can_serve_today,months_active,first_month,last_month
Leads-Search-1,Functional & Integrative Medicine,198432290338,enabled,functional medical doctors,298829237476,Broad,removed,,0,3.75,2,29,0,0,0.069,1.875,,,,,3,2026|07,2026|09
Leads-Search-1,Men's Health,201177674047,enabled,men's health naturopath,943798649025,Broad,removed,,0,3.6877,8,73,0,0,0.1096,0.461,,,,,2,2026|07,2026|08
Leads-Search-1,Men's Health,201177674047,enabled,holistic doctor for men near me,2405800260956,Broad,removed,,0,3.52,3,42,0,0,0.0714,1.1733,,,,,2,2026|07,2026|08
Leads-Search-1,Ad group 1,183759893484,removed,integrative health near me,807046778385,Broad,enabled,Eligible,0.01,3.2913,3,14,0,1,0.2143,1.0971,,,,,1,2026|05,2026|05
Leads-Search-1,Women's Health & Hormones,192679099330,enabled,naturopath for fertility,354423724287,Broad,removed,,0,3.28,2,38,0,0,0.0526,1.64,,,,,2,2026|07,2026|08
Leads-Search-1,Naturopath Near Me — Core,201177654927,enabled,natural doctor near me,298794213593,Broad,removed,,0,3.13,2,90,0,0,0.0222,1.565,,,,,1,2026|07,2026|07
Leads-Search-1,Women's Health & Hormones,192679099330,enabled,pcos specialist near me,393086251324,Phrase,enabled,Eligible,2.6,2.91,1,5,0,1,0.2,2.91,5,,,YES,2,2026|07,2026|08
Leads-Search-1,Naturopath Near Me — Core,201177654927,enabled,naturopathic dr near me,295411384059,Broad,enabled,Eligible,2.5,2.8781,2,81,0,0,0.0247,1.439,7,,,YES,2,2026|07,2026|08
Leads-Search-1,Women's Health & Hormones,192679099330,enabled,endometriosis specialist near me,313019455439,Phrase,enabled,Eligible,2.6,2.86,1,2,0,0,0.5,2.86,5,,,YES,1,2026|08,2026|08
Leads-Search-1,Ad group 1,183759893484,removed,functional medicine clinic near me,629327041832,Broad,enabled,Eligible,0.01,2.73,1,7,0,0,0.1429,2.73,,,,,1,2026|05,2026|05
Leads-Search-1,Men's Health,201177674047,enabled,men's specialist doctor near me,1016846386681,Broad,paused,Eligible,1.3,2.0171,4,55,0,0,0.0727,0.5043,,,,,2,2026|07,2026|08
Leads-Search-1,Functional & Integrative Medicine,198432290338,enabled,functional medical doctors,311258286897,Phrase,enabled,Eligible,1.9,1.81,1,2,0,0,0.5,1.81,,,,YES,1,2026|09,2026|09
Leads-Search-1,Men's Health,201177674047,enabled,naturopath for erectile dysfunction,2362109076957,Broad,paused,Eligible,1.3,1.3678,5,22,0,0,0.2273,0.2736,,,,,1,2026|07,2026|07
Leads-Search-1,Naturopath Near Me — Core,201177654927,enabled,natural practitioner near me,449781667092,Broad,enabled,Eligible,2.5,1.35,1,2,0,0,0.5,1.35,6,,,YES,1,2026|08,2026|08
Leads-Search-1,Women's Health & Hormones,192679099330,enabled,women's naturopath near me,822120435560,Broad,removed,,0,1.2836,2,101,0,0,0.0198,0.6418,,,,,2,2026|07,2026|08
Leads-Search-1,Ad group 1,183759893484,removed,holistic pediatricians near me,352635960607,Broad,enabled,Eligible,0.01,1.28,1,19,0,0,0.0526,1.28,,,,,1,2025|08,2025|08
Leads-Search-1,Functional & Integrative Medicine,198432290338,enabled,functional medical,298906613248,Broad,removed,,0,1.21,1,100,0,0,0.01,1.21,,,,,1,2026|07,2026|07
Leads-Search-1,Men's Health,201177674047,enabled,naturopath for low testosterone,2374002905935,Broad,removed,,0,1.01,2,26,0,0,0.0769,0.505,,,,,2,2026|07,2026|08
Leads-Search-1,Men's Health,201177674047,enabled,men's health doctor near me,327528920044,Broad,paused,Eligible,1.3,0.47,2,34,0,0,0.0588,0.235,,,,,1,2026|07,2026|07
Leads-Search-1,Men's Health,201177674047,enabled,naturopath for prostate,2489305179026,Broad,paused,Eligible,1.3,0.319,1,15,0,0,0.0667,0.319,,,,,1,2026|07,2026|07
Leads-Search-1,Men's Health,201177674047,enabled,men health clinic near me,809666013740,Broad,paused,Eligible,1.3,0.2865,1,18,0,0,0.0556,0.2865,,,,,1,2026|07,2026|07
Leads-Search-1,Naturopath Near Me — Core,201177654927,enabled,naturalist dr near me,393482794014,Broad,paused,Eligible,2.5,0,0,166,0,0,0,,,YES,,,3,2026|07,2026|09
Leads-Search-1,Pediatrics,197488229277,enabled,pediatric holistic doctor near me,427407324440,Broad,enabled,Eligible,2.4,0,0,152,0,0,0,,6,YES,,YES,3,2026|07,2026|09
Leads-Search-1,Pediatrics,197488229277,enabled,natural pediatrician near me,352635961367,Broad,enabled,Eligible,2.4,0,0,51,0,0,0,,,YES,,YES,1,2026|07,2026|07
Leads-Search-1,Ad group 1,183759893484,removed,naturopathic family medicine,302483789996,Broad,enabled,Eligible,0.01,0,0,48,0,0,0,,,YES,,,1,2025|08,2025|08
Leads-Search-1,Geo-Qualified — Hopkins & West Metro,200485717907,enabled,functional medicine doctor hopkins,1416410841571,Broad,removed,,0,0,0,46,0,0,0,,,YES,,,1,2026|07,2026|07
Leads-Search-1,Women's Health & Hormones,192679099330,enabled,naturopath for menopause,337987763643,Broad,removed,,0,0,0,41,0,0,0,,,YES,,,1,2026|07,2026|07
Leads-Search-1,Naturopath Near Me — Core,201177654927,enabled,natural healing doctors near me,311437399568,Broad,paused,Eligible,2.5,0,0,33,0,0,0,,,YES,,,1,2026|07,2026|07
Leads-Search-1,Naturopath Near Me — Core,201177654927,enabled,best naturopath near me,346755549738,Broad,enabled,Eligible,2.5,0,0,30,0,0,0,,8,YES,,YES,2,2026|07,2026|08
Leads-Search-1,Functional & Integrative Medicine,198432290338,enabled,functional medicine practice near me,436847453242,Broad,removed,,0,0,0,15,0,0,0,,,YES,,,2,2026|08,2026|09
Leads-Search-1,Functional & Integrative Medicine,198432290338,enabled,integrative medicine near me,312654900388,Phrase,enabled,Eligible,2.6,0,0,15,0,0,0,,5,YES,,YES,1,2026|07,2026|07
Leads-Search-1,Men's Health,201177674047,enabled,men's clinic near me,300558794055,Broad,paused,Eligible,1.3,0,0,15,0,0,0,,,YES,,,1,2026|07,2026|07
Leads-Search-1,Functional & Integrative Medicine,198432290338,enabled,functional medicine,44794693,Phrase,enabled,Eligible,1.9,0,0,14,0,0,0,,7,YES,,YES,1,2026|09,2026|09
Leads-Search-1,Men's Health,201177674047,enabled,men's doctor near me,418469253323,Broad,paused,Eligible,1.3,0,0,11,0,0,0,,,YES,,,1,2026|07,2026|07
Leads-Search-1,Women's Health & Hormones,192679099330,enabled,perimenopause naturopath,888598728605,Phrase,enabled,Eligible,2.6,0,0,7,0,0,0,,7,YES,,YES,2,2026|07,2026|08
Leads-Search-1,Ad group 1,183759893484,removed,natural doctor near me,298794213593,Broad,enabled,Eligible,0.01,0,0,4,0,0,0,,,YES,,,2,2026|04,2026|05
Leads-Search-1,Women's Health & Hormones,192679099330,enabled,holistic hormone doctor near me,616638070031,Broad,removed,,0,0,0,4,0,0,0,,,YES,,,1,2026|07,2026|07
Leads-Search-1,Ad group 1,183759893484,removed,best naturopathic doctor near me,296836537841,Broad,enabled,Eligible,0.01,0,0,3,0,0,0,,,YES,,,1,2025|08,2025|08
Leads-Search-1,Functional & Integrative Medicine,198432290338,enabled,functional medicine practitioner,10477182709,Phrase,enabled,Eligible,1.9,0,0,3,0,0,0,,,YES,,YES,1,2026|09,2026|09
Leads-Search-1,Ad group 1,183759893484,removed,holistic doctor Hopkins MN,2431677352035,Broad,enabled,Rarely served,0.01,0,0,2,0,0,0,,,YES,,,1,2025|08,2025|08
Leads-Search-1,Ad group 1,183759893484,removed,natural doctor near me,301055025575,Phrase,enabled,Eligible,0.01,0,0,2,0,0,0,,,YES,,,1,2025|07,2025|07
Leads-Search-1,Ad group 1,183759893484,removed,pediatric naturopath,298624063855,Broad,enabled,Eligible,0.01,0,0,2,0,0,0,,,YES,,,1,2025|07,2025|07
Leads-Search-1,Ad group 1,183759893484,removed,pediatric naturopath near me,547692999832,Broad,enabled,Eligible,0.01,0,0,2,0,0,0,,,YES,,,1,2025|07,2025|07
Leads-Search-1,Functional & Integrative Medicine,198432290338,enabled,best functional doctor near me,596599231098,Broad,removed,,0,0,0,2,0,0,0,,,YES,,,1,2026|07,2026|07
Leads-Search-1,Functional & Integrative Medicine,198432290338,enabled,integrative health near me,441297710576,Phrase,enabled,Eligible,1.9,0,0,2,0,0,0,,,YES,,YES,1,2026|08,2026|08
Leads-Search-1,Geo-Qualified — Hopkins & West Metro,200485717907,enabled,functional medicine doctor minnetonka,2395103740971,Phrase,enabled,Eligible,2.6,0,0,2,0,0,0,,,YES,,YES,2,2026|08,2026|09
Leads-Search-1,Pediatrics,197488229277,enabled,pediatric naturopath,298624063855,Broad,enabled,Eligible,2.4,0,0,2,0,0,0,,6,YES,,YES,1,2026|08,2026|08
Leads-Search-1,Women's Health & Hormones,192679099330,enabled,functional medicine for hormones,1656267935454,Phrase,removed,,0,0,0,2,0,0,0,,,YES,,,1,2026|07,2026|07
Leads-Search-1,Women's Health & Hormones,192679099330,enabled,naturopath for PMS,1368219292309,Phrase,enabled,Eligible,2.6,0,0,2,0,0,0,,,YES,,YES,2,2026|07,2026|08
Leads-Search-1,Women's Health & Hormones,192679099330,enabled,naturopath for fertility,344344850530,Phrase,enabled,Eligible,2.6,0,0,2,0,0,0,,,YES,,YES,1,2026|07,2026|07
Leads-Search-1,Women's Health & Hormones,192679099330,enabled,women's hormone specialist near me,838763769492,Phrase,enabled,Eligible,2.6,0,0,2,0,0,0,,,YES,,YES,1,2026|09,2026|09
Leads-Search-1,Ad group 1,183759893484,removed,natural medicine Minnesota,2431240509058,Phrase,enabled,Eligible,0.01,0,0,1,0,0,0,,,YES,,,1,2025|08,2025|08
Leads-Search-1,Ad group 1,183759893484,removed,naturopathic family medicine,357829242134,Phrase,enabled,Eligible,0.01,0,0,1,0,0,0,,,YES,,,1,2025|07,2025|07
Leads-Search-1,Ad group 1,183759893484,removed,naturopathic practitioner near me,381953148433,Broad,enabled,Eligible,0.01,0,0,1,0,0,0,,,YES,,,1,2025|08,2025|08
Leads-Search-1,Men's Health,201177674047,enabled,best mens doctor near me,826174075160,Broad,paused,Eligible,1.3,0,0,1,0,0,0,,,YES,,,1,2026|07,2026|07
Leads-Search-1,Men's Health,201177674047,enabled,male health doctor near me,387583490878,Broad,paused,Eligible,1.3,0,0,1,0,0,0,,,YES,,,1,2026|07,2026|07
Leads-Search-1,Men's Health,201177674047,enabled,men's hormone doctor near me,809666013980,Broad,removed,,0,0,0,1,0,0,0,,,YES,,,1,2026|07,2026|07
Leads-Search-1,Naturopath Near Me — Core,201177654927,enabled,alternative medicine doctors near me,297466350908,Phrase,enabled,Eligible,2.5,0,0,1,0,0,0,,,YES,,YES,1,2026|08,2026|08
Leads-Search-1,Women's Health & Hormones,192679099330,enabled,Hashimoto's naturopath,2490112250808,Phrase,enabled,Eligible,2.6,0,0,1,0,0,0,,,YES,,YES,1,2026|07,2026|07
Leads-Search-1,Women's Health & Hormones,192679099330,enabled,holistic thyroid doctors near me,322522772528,Broad,removed,,0,0,0,1,0,0,0,,,YES,,,1,2026|07,2026|07
Leads-Search-1,Women's Health & Hormones,192679099330,enabled,hormone doctor near me,64408445366,Phrase,enabled,Eligible,2.6,0,0,1,0,0,0,,,YES,,YES,1,2026|09,2026|09
Leads-Search-1,Women's Health & Hormones,192679099330,enabled,natural hormone doctors near me,812915579250,Broad,removed,,0,0,0,1,0,0,0,,,YES,,,1,2026|07,2026|07
Leads-Search-1,Ad group 1,183759893484,removed,functional medicine doctors near me,300278964675,Broad,enabled,Eligible,0.01,0,0,0,0,0,,,,,YES,,0,,
Leads-Search-1,Ad group 1,183759893484,removed,functional medicine practice near me,436847453242,Broad,enabled,Eligible,0.01,0,0,0,0,0,,,,,YES,,0,,
Leads-Search-1,Ad group 1,183759893484,removed,holistic healthcare Minneapolis,2457285928074,Broad,enabled,Rarely served,0.01,0,0,0,0,0,,,,,YES,,0,,
Leads-Search-1,Ad group 1,183759893484,removed,naturalist dr near me,393482794014,Broad,enabled,Eligible,0.01,0,0,0,0,0,,,,,YES,,0,,
Leads-Search-1,Geo-Qualified — Hopkins & West Metro,200485717907,enabled,functional medicine doctor hopkins,2495044224613,Phrase,enabled,Rarely served,2.6,0,0,0,0,0,,,,,YES,YES,0,,
Leads-Search-1,Men's Health,201177674047,enabled,men's hormone doctor near me,828039572868,Phrase,enabled,Eligible,1.3,0,0,0,0,0,,,,,YES,YES,0,,
